,precision,recall,f1-score,support
Facebook,0.0,0.0,0.0,0.0
Instagram,0.36363636363636365,0.5714285714285714,0.4444444444444444,7.0
LinkedIn,0.0,0.0,0.0,0.0
Snapchat,0.0,0.0,0.0,0.0
TikTok,0.0,0.0,0.0,0.0
Twitter,0.15113350125944586,0.9375,0.2603036876355749,64.0
Twitter (X),0.0,0.0,0.0,0.0
YouTube,0.0,0.0,0.0,0.0
micro avg,0.1292929292929293,0.9014084507042254,0.22614840989399293,71.0
macro avg,0.06434623311197618,0.18861607142857142,0.08809351651000241,71.0
weighted avg,0.17208448769097295,0.9014084507042254,0.27845841013785777,71.0
samples avg,0.017481562414640807,0.017481562414640807,0.017481562414640807,71.0
