,precision,recall,f1-score,support
facebook,0.0,0.0,0.0,0.0
instagram,0.0,0.0,0.0,0.0
parler,0.0,0.0,0.0,0.0
tiktok,0.0,0.0,0.0,0.0
truth social,1.0,1.0,1.0,2.0
twitter,0.5555555555555556,0.625,0.5882352941176471,8.0
twitter (x),0.9,1.0,0.9473684210526316,9.0
youtube,1.0,1.0,1.0,4.0
micro avg,0.5882352941176471,0.8695652173913043,0.7017543859649124,23.0
macro avg,0.43194444444444446,0.453125,0.4419504643962848,23.0
weighted avg,0.806280193236715,0.8695652173913043,0.8361825279310809,23.0
samples avg,0.0016326530612244899,0.0016326530612244899,0.0016326530612244899,23.0
