,precision,recall,f1-score,support
facebook,0.125,1.0,0.2222222222222222,1.0
instagram,0.1,1.0,0.18181818181818182,1.0
parler,0.0,0.0,0.0,0.0
tiktok,0.0,0.0,0.0,0.0
truth social,1.0,1.0,1.0,1.0
twitter,0.5686274509803921,1.0,0.725,29.0
twitter (x),0.75,0.75,0.75,4.0
youtube,0.0,0.0,0.0,0.0
micro avg,0.17766497461928935,0.9722222222222222,0.3004291845493562,36.0
macro avg,0.317953431372549,0.59375,0.3598800505050505,36.0
weighted avg,0.5754221132897603,0.9722222222222222,0.7063622334455668,36.0
samples avg,0.0016601840432596527,0.0016364671283559435,0.0016443727666571799,36.0
