,precision,recall,f1-score,support
facebook,0.0,0.0,0.0,0.0
instagram,0.0,0.0,0.0,0.0
linkedin,0.0,0.0,0.0,0.0
parler,0.0,0.0,0.0,0.0
tiktok,0.0,0.0,0.0,0.0
truth social,1.0,1.0,1.0,2.0
twitter,0.5555555555555556,0.625,0.5882352941176471,8.0
twitter (x),1.0,1.0,1.0,9.0
youtube,1.0,1.0,1.0,4.0
micro avg,0.5263157894736842,0.8695652173913043,0.6557377049180327,23.0
macro avg,0.3950617283950617,0.4027777777777778,0.39869281045751637,23.0
weighted avg,0.8454106280193237,0.8695652173913043,0.8567774936061382,23.0
samples avg,0.001761028440609316,0.001761028440609316,0.001761028440609316,23.0
