filename,gold,predicted,false_positives
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-003530.jpg,set(),{'twitter (x)'},{'twitter (x)'}
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-003547.jpg,set(),{'twitter (x)'},{'twitter (x)'}
/CNNW_20200314_050000_Cuomo_Prime_Time-002220.jpg,set(),{'twitter (x)'},{'twitter (x)'}
/CNNW_20210110_050000_CNN_Newsroom_Live-001869.jpg,set(),{'twitter (x)'},{'twitter (x)'}
/CNNW_20210110_050000_CNN_Newsroom_Live-002704.jpg,set(),"{'linkedin', 'facebook', 'instagram', 'twitter'}","{'linkedin', 'facebook', 'instagram', 'twitter'}"
/CNNW_20210110_060000_CNN_Newsroom_Live-001215-001222.jpg,set(),{'parler'},{'parler'}
/CNNW_20210110_060000_CNN_Newsroom_Live-001223-001225.jpg,set(),{'parler'},{'parler'}
/CNNW_20210110_060000_CNN_Newsroom_Live-001269.jpg,set(),{'truth social'},{'truth social'}
/CNNW_20220425_050000_CNN_Newsroom_Live-001066-001067.jpg,set(),{'rumble'},{'rumble'}
/CNNW_20220425_050000_CNN_Newsroom_Live-001088.jpg,set(),{'rumble'},{'rumble'}
/CNNW_20220425_050000_CNN_Newsroom_Live-001619.jpg,set(),{'facebook'},{'facebook'}
/CNNW_20220425_050000_CNN_Newsroom_Live-001748.jpg,set(),{'twitter (x)'},{'twitter (x)'}
/CNNW_20220425_050000_CNN_Newsroom_Live-001755.jpg,set(),{'twitter (x)'},{'twitter (x)'}
/CNNW_20220425_050000_CNN_Newsroom_Live-001767.jpg,set(),{'twitter (x)'},{'twitter (x)'}
/CNNW_20220425_050000_CNN_Newsroom_Live-001774.jpg,set(),{'twitter (x)'},{'twitter (x)'}
/CNNW_20220425_050000_CNN_Newsroom_Live-001805.jpg,set(),{'twitter (x)'},{'twitter (x)'}
/CNNW_20220425_050000_CNN_Newsroom_Live-002557-002558.jpg,set(),{'rumble'},{'rumble'}
/CNNW_20220425_050000_CNN_Newsroom_Live-002578.jpg,set(),{'rumble'},{'rumble'}
/CNNW_20220425_050000_CNN_Newsroom_Live-002579.jpg,set(),{'rumble'},{'rumble'}
/CNNW_20220425_050000_CNN_Newsroom_Live-003275-003276.jpg,set(),"{'facebook', 'youtube', 'twitter', 'instagram'}","{'facebook', 'youtube', 'twitter', 'instagram'}"
/CNNW_20220425_050000_CNN_Newsroom_Live-003505-003506.jpg,set(),{'rumble'},{'rumble'}
/CNNW_20220425_050000_CNN_Newsroom_Live-003507.jpg,set(),{'youtube'},{'youtube'}
/CNNW_20220425_050000_CNN_Newsroom_Live-003527.jpg,set(),{'rumble'},{'rumble'}
/CNNW_20240201_040000_Laura_Coates_Live-001169.jpg,set(),{'twitter (x)'},{'twitter (x)'}
/CNNW_20240201_040000_Laura_Coates_Live-001189-001194.jpg,set(),{'tiktok'},{'tiktok'}
/CNNW_20240201_040000_Laura_Coates_Live-002055-002058.jpg,set(),{'facebook'},{'facebook'}
/CNNW_20240201_040000_Laura_Coates_Live-002142.jpg,set(),{'facebook'},{'facebook'}
/CNNW_20240201_040000_Laura_Coates_Live-002410-002412.jpg,set(),{'facebook'},{'facebook'}
/CNNW_20240201_040000_Laura_Coates_Live-003532-003535.jpg,set(),{'tiktok'},{'tiktok'}
/CNNW_20240201_040000_Laura_Coates_Live-003541.jpg,set(),{'tiktok'},{'tiktok'}
/CNNW_20240201_050000_Anderson_Cooper_360-002455-002464.jpg,set(),{'youtube'},{'youtube'}
/CNNW_20240201_050000_Anderson_Cooper_360-002686.jpg,set(),{'youtube'},{'youtube'}
/CNNW_20240201_050000_Anderson_Cooper_360-002687-002692.jpg,set(),{'youtube'},{'youtube'}
/CNNW_20240201_050000_Anderson_Cooper_360-002693-002703.jpg,set(),{'youtube'},{'youtube'}
/CNNW_20240201_050000_Anderson_Cooper_360-002704.jpg,set(),{'youtube'},{'youtube'}
/CNNW_20240201_050000_Anderson_Cooper_360-002705-002706.jpg,set(),{'youtube'},{'youtube'}
/CNNW_20240201_050000_Anderson_Cooper_360-002751.jpg,set(),{'youtube'},{'youtube'}
/CNNW_20240201_050000_Anderson_Cooper_360-002780-002781.jpg,set(),{'youtube'},{'youtube'}
/CNNW_20240201_050000_Anderson_Cooper_360-002799.jpg,set(),{'youtube'},{'youtube'}
/CNNW_20240201_050000_Anderson_Cooper_360-002824-002832.jpg,set(),{'youtube'},{'youtube'}
/CNNW_20240201_060000_The_Source_With_Kaitlan_Collins-000048-000053.jpg,set(),{'tiktok'},{'tiktok'}
/CNNW_20240201_060000_The_Source_With_Kaitlan_Collins-001317.jpg,set(),{'linkedin'},{'linkedin'}
/CNNW_20240201_060000_The_Source_With_Kaitlan_Collins-002223.jpg,set(),{'pinterest'},{'pinterest'}
/CNNW_20240201_060000_The_Source_With_Kaitlan_Collins-002246.jpg,set(),{'twitter'},{'twitter'}
