,precision,recall,f1-score,support
facebook,0.0,0.0,0.0,0.0
instagram,0.0,0.0,0.0,0.0
parler,0.0,0.0,0.0,0.0
tiktok,0.0,0.0,0.0,0.0
truth social,0.6666666666666666,1.0,0.8,2.0
twitter,0.6,0.6666666666666666,0.631578947368421,9.0
twitter (x),1.0,1.0,1.0,10.0
youtube,1.0,1.0,1.0,4.0
micro avg,0.5789473684210527,0.88,0.6984126984126985,25.0
macro avg,0.4083333333333333,0.4583333333333333,0.42894736842105263,25.0
weighted avg,0.8293333333333334,0.88,0.8513684210526316,25.0
samples avg,0.0016304750611428147,0.0016304750611428147,0.0016304750611428147,25.0
