,precision,recall,f1-score,support
- Answer: N/A,0.0,0.0,0.0,0.0
- Twitter,0.0,0.0,0.0,0.0
Answer: N/A,0.0,0.0,0.0,0.0
Answer: Twitter,0.0,0.0,0.0,0.0
Facebook,0.0,0.0,0.0,0.0
Instagram,0.3125,0.7142857142857143,0.43478260869565216,7.0
LinkedIn,0.0,0.0,0.0,0.0
Snapchat,0.0,0.0,0.0,0.0
TikTok,0.0,0.0,0.0,0.0
Twitter,0.1631578947368421,0.96875,0.2792792792792793,64.0
Twitter (X),0.0,0.0,0.0,0.0
Twitter (stylized bird logo),0.0,0.0,0.0,0.0
YouTube,0.0,0.0,0.0,0.0
micro avg,0.13480885311871227,0.9436619718309859,0.23591549295774644,71.0
macro avg,0.03658906882591093,0.12946428571428573,0.054927837536533186,71.0
weighted avg,0.17788176426982952,0.9436619718309859,0.29461059344709073,71.0
samples avg,0.018301010652827097,0.018301010652827097,0.018301010652827097,71.0
