,precision,recall,f1-score,support
discord,0.0,0.0,0.0,0.0
facebook,0.6129032258064516,1.0,0.76,19.0
instagram,0.3333333333333333,1.0,0.5,2.0
messenger,0.0,0.0,0.0,0.0
parler,1.0,1.0,1.0,6.0
pinterest,0.0,0.0,0.0,0.0
snapchat,0.0,0.0,0.0,0.0
threads,1.0,1.0,1.0,2.0
tiktok,1.0,1.0,1.0,3.0
truth social,1.0,1.0,1.0,2.0
twitter,0.9479166666666666,0.9578947368421052,0.9528795811518324,95.0
twitter (x),0.05405405405405406,1.0,0.10256410256410257,4.0
whatsapp,0.0,0.0,0.0,0.0
youtube,0.3333333333333333,1.0,0.5,2.0
zoom,0.0,0.0,0.0,0.0
micro avg,0.5550847457627118,0.9703703703703703,0.7061994609164419,135.0
macro avg,0.41876937421292265,0.5971929824561404,0.45436291224772896,135.0
weighted avg,0.8610873642459663,0.9703703703703703,0.8916579008865221,135.0
samples avg,0.007301460292058411,0.007334800293392012,0.0073157488640585265,135.0
